2017-05-25 15:36:48,042 [INFO] webapp.BarcodeView: Barcode added
2017-05-25 15:36:48,045 [INFO] webapp.BarcodeView: Barcode added
2017-05-25 15:36:48,088 [INFO] webapp.barcodevalidator: Barcode is not given when vendor is given
2017-05-25 15:36:48,114 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:36:48,115 [INFO] webapp.barcodevalidator: Barcode is not given when vendor is given
2017-05-25 15:36:48,115 [INFO] webapp.barcodevalidator: Start date is given date
2017-05-25 15:36:48,115 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:36:48,118 [INFO] webapp.barcodevalidator: Start date is given date
2017-05-25 15:36:48,118 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:43:17,400 [INFO] webapp.BarcodeView: Barcode added
2017-05-25 15:43:17,401 [INFO] webapp.BarcodeView: Barcode added
2017-05-25 15:43:17,417 [INFO] webapp.barcodevalidator: Barcode is not given when vendor is given
2017-05-25 15:43:17,424 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:43:17,426 [INFO] webapp.barcodevalidator: Barcode is not given when vendor is given
2017-05-25 15:43:17,426 [INFO] webapp.barcodevalidator: Start date is given date
2017-05-25 15:43:17,426 [INFO] webapp.barcodevalidator: End date is given date
2017-05-25 15:43:17,427 [INFO] webapp.barcodevalidator: Start date is given date
2017-05-25 15:43:17,427 [INFO] webapp.barcodevalidator: End date is given date
2017-05-30 17:44:57,266 [DEBUG] django.db.backends: (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:44:57,471 [DEBUG] django.db.backends: (0.001) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:44:57,476 [DEBUG] django.db.backends: (0.005) SHOW FULL TABLES; args=None
2017-05-30 17:44:57,489 [DEBUG] django.db.backends: (0.003) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-05-30 17:45:23,661 [DEBUG] django.db.backends: (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:45:23,872 [DEBUG] django.db.backends: (0.000) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:45:23,878 [DEBUG] django.db.backends: (0.005) SHOW FULL TABLES; args=None
2017-05-30 17:45:23,887 [DEBUG] django.db.backends: (0.001) SELECT `django_migrations`.`app`, `django_migrations`.`name` FROM `django_migrations`; args=()
2017-05-30 17:45:40,634 [DEBUG] django.db.backends: (0.002) SET SQL_AUTO_IS_NULL = 0; args=None
2017-05-30 17:45:40,637 [DEBUG] django.db.backends: (0.001) SELECT `webapp_token`.`id`, `webapp_token`.`vendor_id`, `webapp_token`.`barcode_id`, `webapp_token`.`tokenDateTime`, COUNT(`webapp_token`.`vendor_id`) AS `num_tokens` FROM `webapp_token` GROUP BY `webapp_token`.`id` ORDER BY NULL LIMIT 21; args=()
2017-05-30 17:48:03,177 [DEBUG] django.db.backends: (0.002) SELECT `webapp_vendor`.`id`, `webapp_vendor`.`vendorName`, COUNT(`webapp_token`.`id`) AS `num_tokens` FROM `webapp_vendor` LEFT OUTER JOIN `webapp_token` ON (`webapp_vendor`.`id` = `webapp_token`.`vendor_id`) GROUP BY `webapp_vendor`.`id` ORDER BY NULL LIMIT 21; args=()
